Article Id,Summary,Caption,Category
110,"Ruth Williams, 67 was found unconscious at the home she shared with Anthony, 69, where they had been in quarantine. She was taken to hospital but was later pronounced dead. Anthony was due to appear at Cardiff Magistrates Court later today charged with Ruthâ€™s murder. Domestic abuse campaigners have warned that the lockdown could spark a â€˜pandemicâ€™ in violence against spouses and partners. Victims have been told they can leave home to seek help at refuges but fears remain that cases will spike anyway.","Anthony Williams, 69, is accused of killing wife Ruth, 67, who was found unconscious at home",Equivalence
111,"Jack Grealish was pictured at the scene of a car accident in Birmingham. Aston Villa captain had urged fans to 'stay home' during coronavirus lockdown. Former Arsenal and England striker Ian Wright says he was â€˜guttedâ€™ by the incident and contacted the Villa captain to express his disappointment. â€˜I have messaged him so he knows how I feel. I am very, very angry about it,' says Wright. Aston Aston Villa confirmed on Monday that they had fined G realish, with the proceeds donated to the University Hospitals Charity.",Ian Wright has revealed what he told Jack Grealish after he broke coronavirus lockdown rules,Equivalence
112,"Sophie, 10, has autism and finds change very unsettling. For her, things are black and white with no grey areas, so she was devastated to find out she wouldnâ€™t be able to sit her SATS. All she wants is for everything to go back to normal or, failing that, clarity on what will happen in the future. Sophie needs clear goals and a recognisable routine to thrive, so thatâ€™s what Iâ€™ll do: grit my teeth, draw up a timetable and hope for the best.","All she wants is for everything to go back to normal or, failing that, clarity on what will happen in the future. I can give her neither of those things",Equivalence
113,"Ethnic minority communities could be hardest hit when dust settles. Scholar and social change campaigner Fatima Iftikhar says BAME communities are likely to be deeply affected by this crisis. â€˜It is easy in a crisis to revert to familiar ways of working, but in doing so, we could very easily end up reinforcing structures of racial inequality,â€™ she says. Last week a 36-year-old black mother of three died of suspected coronavirus after calling paramedics and being told, her husband says, she was â€˜not a priorityâ€™",Minority children are more likely to be marked down by teachers,Complementarity
114,"Researchers carried out tests on 16 patients in China who had been treated for Covid-19 in PLA General Hospital in Beijing between January 28 and February 9. All patients had throat swabs collected on alternative days and analysed. On average (mean), they had symptoms (such as fever and cough) for eight days after taking five days for the virus to incubate. The study said that half (8 out of 16) of the patients remained viral positive even after the resolution of symptoms. The median amount of time was 2.5 days, but it ranged from one to eight days.",It suggests people may need to quarantine for longer.,Complementarity
115,"Health authorities announced an increase of 499 deaths of patients with coronavirus in the countryâ€™s hospitals on Tuesday, bringing the total numberto 3,523. In China, where Covid-19 first emerged in December, 3,309 died of the infection, according to figures from the John Hopkins Resource Centre. The UK lags Italy, Spain and France in terms of the number of deaths, but they are still doubling around every 3.5 days. The number of confirmed cases rose 14% between Monday and Tuesday â€“ the third day of increases around that rate.",A record 499 people have died from coronavirus in France in the last 24 hours,Equivalence
116,"Friends, Families and Travellers (FFT) has provided guidance for those who live on traveller sites, roadside or on canal boats. The main messages of the guidance are the same as those issued by Public Health England (PHE) If you have symptoms of coronavirus you must stay inside for seven days from when your symptoms started, and those you live with must stay at home and not leave for 14 days. FFT advises you move any vulnerable individuals out of your accommodation for the isolation period to stay with family or friends if possible.","The Appleby Horse Fair, usually attended by tens of thousands of travellers, has been cancelled this year due to coronavirus",Complementarity
117,"In the last 24 hours the Republic saw its biggest daily jump since the start of the outbreak. Another 325 new cases of coronavirus have also been confirmed, with the total standing at 3,235. 703 people have been hospitalised with Covid-19 and 113 of these are in intensive care. Around a quarter of the transmissions are among healthcare workers. Irelandâ€™s chief medical officer Dr Tony Holohan said each one of the deaths was a â€˜tragedyâ€™ as infection rates increase.","More than 3,000 people have tested positive for the virus in the Republic",Equivalence
118,"Japan is â€˜just barely holding it togetherâ€™ as pressure builds on Prime Minister Shinzo Abe to impose a full lockdown amid the growing coronavirus pandemic. On the same day thousands of commuters were pictured shuffling alongside each other before boarding packed trains in Tokyo. The capital registered more than 70 new cases â€“ a new daily record. Worldwide infections have now surpassed 770,000, with more than 37,000 deaths â€“ the majority of those having occurred in Italy, Spain and the United States.",Tokyo Governor Yuriko Koike warned of a possible lockdown after a spike of coronavirus infections,Complementarity
119,"Number of people hospitalised in the UK with coronavirus has passed 10,000. Michael Gove said that 10,767 people had been admitted to hospital overall. In London, there were 3,915 people needing hospital care while in the Midlands there were 1,918. Around a third of the hospital admissions are in London, as the capital is ahead of the rest of the country in terms of the epidemic. Earlier today, the Department of Health confirmed that the number of people who have died after contracting coronav virus in UK has reached 1,789. The updated toll comes after 367 patients in England died, and Scotland recorded 13 more deaths.","10,767 people have been admitted to hospital with coronavirus",Equivalence
120,"Star Wars actor Andrew Jack has died aged 76 from the coronavirus. The star, who was also a dialect coach, passed away this morning at a hospital just outside of London as a result of complications developed from the virus. His representative Jill McCullough told Metro.co.uk: â€˜He died this morning of Covid-19 at St Peterâ€™s Hospital, Chertsey. Andrew lived on one the oldest working houseboats on the Thames, he was fiercely independent but madly in love with his wife'",Andrew Jack appears in Star Wars: The Force Awakens,Equivalence
121,"Key components ordered from Eurofins, a company based in Luxembourg, had been contaminated with Covid-19. UK is under increased pressure to test more people to get ahead of the coronavirus pandemic. Tony Blair has warned that â€˜virtually everybodyâ€™ in the UK would need to be tested multiple times. The Government claims there is currently a capacity to carry out 11,000 tests a day, while the aim is to carried out 25,000 Tests per day by mid-April.",Components for a coronavirus testing kits have been contaminated with Covid-19,Equivalence
122,"Dozens of members of the Skagit Valley Chorale tested positive for Covid-19 after 56 members the groupâ€™s 121-person choir met for practice on March 10 in Mount Vernon, Washington. The county's first coronavirus death was a choir member in her 80s who attended the two-and-a-half-hour rehearsal. Eight singers told the Los Angeles Times that no one appeared ill at the practice, but three weeks later, dozens of members began feeling ill. The youngest choir member to contract the illness was 31, although the average age was 67.",Two members of the Skagit Valley Chorale died of the coronavirus and 45 are believed to have been infected by the virus after the group met on March 10.,Complementarity
123,"Official statistics only take into account those who have died from Covid-19 while in hospital. The ONS figures include all deaths where coronavirus is listed anywhere on the death certificate, including in combination with other health conditions. So far in the UK 1,408 people have died and more than 22,000 have tested positive for the deadly virus. Experts have already warned that the expect to see a sharp rise in deaths in the coming weeks. It comes after Monday marked the first time the daily increase in deaths had fallen for two days straight.",Official statistics regarding deaths only include those who have died in hospital,Equivalence
124,"Number of people who have died after contracting coronavirus in the UK has reached 1,789, the Department of Health has confirmed. The updated toll comes after 367 patients in England died, and Scotland recorded 13 more deaths. A further seven people were confirmed dead in Wales, while Northern Ireland recorded six more deaths today. Todayâ€™s jump in deaths is the biggest daily increase since the outbreak began, following a rise of 180 deaths yesterday and 209 on Sunday. But it comes as new data from the Office for National Statistics suggested the true death count could be 20% higher than official figures have shown.",A medic takes swabs at a drive-through coronavirus testing facility at Chessington World of Adventures,Complementarity
125,"Kinky parties are hosted on video conferencing sites like Zoom. They have a similar format to real-life fetish parties â€” dressing up, dancing, and getting down and dirty. Online sex parties are a testament to the brilliance of human creativity in sexuality. They allow otherwise introverted people to explore their sexuality in a real-time way that they may have never considered if the pandemic hadnâ€™t happened. The Hook-Up is on ITV1 at 9pm on Thursday.","To break the ice,Â the group played a game ofÂ Never Have I Ever",Complementarity
126,"Death toll rises to 85 as total number of cases in Ireland rises to 3,447. Ten of the fatalities happened in the east of the country and four in the south. Deputy Chief Medical Officer Ronan Glynn said it is too early to draw any firm conclusions as the latest figures show a slight decrease in cases of Covid-19. He said: 'We are hopeful that as a whole we are going in the right direction. However, we are only going to win this battle if we get the number right down'","Infections have not spread as quickly as anticipated, but experts warn against complacency",Complementarity
127,"Coronavirus has brought the entire world to a standstill, with people self-isolating. Shops, restaurants, bars and pubs have temporarily closed across the UK, amid the global pandemic. Film releases have also been pushed back while concerts and festivals have been axed altogether. Weâ€™ve pulled together a series of emoji quizzes to give your minds a slight work-out â€“ while also giving you some inspiration of what else you can binge watch at the moment. See if you can figure out what TV shows these emoticons spell out.",Can you guess any of these TV shows in emoji form?,Complementarity
128,"A nationwide lockdown was implemented in the UK last week by Prime Minister Boris Johnson in an effort to fight the spread of coronavirus. At the time of writing, the UK death toll is 1,789, with close to 400 people dying of the virus in a 24-hour period. These measures put in place by the Prime Minister will last for at least three weeks in total. It looks like we have to wait until at least Monday 13 April â€“ one day after Easter Sunday â€“ before the lockdown restrictions can be lifted.",A cleaner sprays disinfectant outside the Emirates Air Line office,Complementarity
129,"At the time of writing, there have over 7,000 Covid-19 deaths in the country. Official numbers only include people who have died from coronavirus while in hospital. However data from the Office of National Statistics has suggested that the nationâ€™s actual death toll could be 20% higher than what official figures have been showing. Meanwhile, Prime Minister Boris Johnson is â€˜responding to treatmentâ€™ for the virus, as he remains in a stable condition in the intensive care unit where he is being treated.",An employee sprays disinfectant in a building in Rome,Complementarity
130,"Dr Ai Fen, head of the emergency department at Wuhan Central Hospital, gave a grim account of the deaths and strain on medical staff to Chinese magazine People. The doctor claimed she had been silenced by bosses after taking a photo of a patientâ€™s test results with the words â€˜SARS coronavirusâ€™ circled with red pen. According to 60 Minutes Australia, Dr Ai has not been seen for two weeks after going public. She said: â€˜Had I known how things would turn out, I wouldnâ€™t care if I got criticised. I wouldâ€™ve told the whole worldâ€™",Dr Ai Fen has reportedly vanished after hitting out at Chinaâ€™s handling of the coronavirus outbreak,Equivalence
131,"As of 9am on Tuesday, a total of 143,186 people had been tested for Covid-19 in the UK, of which 25,150 tested positive. But the latest Public Health England figures show fewer than 10,000 tests per day are currently being carried out â€“ in comparison to 70,000 per day in Germany. So far, tests have been focused on those admitted to hospital, and anyone with milder symptoms has been told to self-isolate at home. The Government has vowed to rapidly increase testing for healthcare staff after it emerged that around a quarter of the workforce are off sick.",Plastic vials containing tests for the coronavirus are pictured at a medical laboratory,Complementarity
132,"Public Health England director Dr Yvonne Doyle said the â€˜threat is everywhereâ€™ and that hospitals across the country need protection. The Covid-19 outbreak is most advanced in London, but cases in the Midlands are picking up quickly. Despite a nationwide lockdown in which Britons have been urged to stay at home unless absolutely necessary, Dr Doyle says there has been a rise in the number of people driving. Business Secretary Alok Sharma called the coronavirus pandemic â€˜the biggest threat our country has faced in decades'",The Midlands was described as a â€˜concernâ€™ at todayâ€™s Downing Street coronavirus conference,Equivalence
133,"Virus can sit for up to 72 hours on plastic and stainless steel, and up to 24 hours on cardboard. It is believed the virus lasts longer on shiny, hard surfaces such as plastic and steel as opposed to soft, porous surfaces. The Centers for Disease Control and Prevention (CDC) has emphasised the virus is generally spread from person to person through respiratory droplets, and not through surfaces. As a rule of thumb, it is advised to wash your hands â€“ for at least 20 seconds -after touching any surfaces and to avoid touching your face.",Should we avoid touching shared surfaces?,Complementarity
134,"1,496,651 web-based assessments in which people were flagged as potential carriers between March 28 and March 31. A further 243,543 calls to 111 and 999 concluded that people had possible signs of Covid-19. Figures published by NHS digital come after GP practices in England were toldto open over the Easter bank holiday to help the health system cope with the pandemic. Calls have been made for as many doctors to be on standby as possible as it is thought infections in the UK may peak over this period.",Infections in the UK are expected to peak over the Easter holiday period,Equivalence
135,"Presenter slammed officials for not getting enough ventilators prepared. He continued to call for testing of Covid-19 in the country. Piers revealed his youngest son Albert lost his sense of taste and smell among his â€˜mild symptomsâ€™ connected to coronavirus. He admitted he might have â€˜out-tangerined himselfâ€™ after he slapped on foundation a bit too thick and didnâ€™t blend it out. On Tuesday, it was reported the number of people hospitalised in the UK with coronav virus has passed 10,000.",Piers Morgan didnâ€™t hold back his skepticism about the government,Equivalence
136,"The middle aged man needed to be injected with the blood of a coronavirus survivor in order to recover. His symptoms were mild and scientists say his body had struck a â€˜dynamic balanceâ€™ with the bug. Covid-19 swab tests showed that for 49 days,the unnamed Chinese patient had been â€˜sheddingâ€™ meaning the bug was being carried in his breath through droplets. The average for coronav virus shedding is thought to be 20 days with the longest case recorded at 37 days.",Doctors injected the patient with the blood of a Covid-19 survivor for him to recover,Equivalence
137,"US president suggested the Prime Minister had looked to â€˜ride outâ€™ the virus in an approach that would have caused â€˜a lot of deathâ€™ Comments come as the UKâ€™s coronavirus death toll jumped to 2,352 following another 563 deaths â€“ the biggest daily increase since the outbreak began. President's criticism appeared to be a reference to a plan for the UK to build up a so-called â€˜herd immunityâ€™ The concept would have seen the elderly and vulnerable sheltered from Covid-19 but those deemed fit would have been permitted to contract the illness.",Donald Trump waves at the White House press corp as he departs a daily briefing,Complementarity
138,"More than 1.7 million NHS assessments recorded people with Covid-19 symptoms in the space of just 15 days. GP practices in England were told to open over the Easter Bank Holiday to help the NHS cope with coronavirus. Scientists at Kingâ€™s College London have found losing your sense of smell and taste could be the best way to tell if you have the respiratory disease. The researchers have been tracking symptoms via their specially-created Covid Symptom Tracker app. Over half (59%) of the 1.5 million people who signed up to the app by March 29, and tested positive, reported a loss of smell.",Ambulance workers seen outside the Excel centre in east London which has been transformed into the NHS Nightingale Hospital to house coronavirus patients,Complementarity
139,"There have been 2,352 deaths in the UK due to Covid-19, while the total number of confirmed cases is 29,474. Strict lockdown rules have been put in place to stop the spread of the virus. Dr John Lee, a retired professor of pathology, suggests that there has been a worldwide overreaction to coronavirus and a lack of testing means that governments have been unable to get an accurate understanding of the severity of the disease. Dr Lee also believes that current evidence suggests coronav virus isnâ€™t much worse than seasonal flu.","The NHS has now dealt with over 29,000 cases of coronavirus in the UK",Complementarity
140,"Figures plotted in a different way reveal a worryingly dramatic upward curve. On the Cabinet Officeâ€™s graph, one axis â€“ showing the number of deaths â€“ has equally-sized gaps to stand in for different numerical increases. Meanwhile, another widely cited graph uses intervals of 500-1,000; 1,000-1,.500 and 1,500-2,000. That means the increase in Covid-19-linked deaths is far steeper than the official graphâ€s line implies.",The stark difference in the way the stats on coronavirus deaths is presented,Equivalence
142,"Suzanne Hoylaerts, 90, from Binkom, near Lubbeek, is reported to have told doctors: â€˜I donâ€™t want to use artificial respiration. Save it for younger patients. I already had a good lifeâ€™ She went to hospital on March 20 after her condition deteriorated when she contracted Covid-19, suffering from a lack of appetite and shortness of breath. She tested positive for coronavirus and was put in isolation, meaning her daughter Judith could not visit.",Suzanne Hoylaertsdied two days after being admitted to hospital,Complementarity
143,"Cornelia Azariah, 31, allegedly yanked her trousers down and spat when she was told she could not be seen by A&E at Royal Brompton Hospital, Chelsea, London. The court heard how she shouted 'Get a look at my p***y' as security guard Mouhammed Nourine tried to get her off the premises. She returned moments later with a used sanitary pad and rubbed it across a door in front of horrified staff and patients screaming â€˜Thereâ€™s your coronavirus for you guysâ€™","Cornelia Azariah allegedly flew into a blind rage when she was told she couldnâ€™t be seen by A&E at Royal Brompton Hospital in Chelsea, London",Equivalence
144,"In the United Kingdom there have been 33,718 cases, 2,921 deaths and 135 recoveries. The global death toll has passed 50,000 with Italy and Spain suffering the most. The virus is thought to have originated from a live animal market in Wuhan, Hubei Province, China. More than 82,000 cases have been confirmed in the Peopleâ€™s Republic, but doubt has been cast over the legitimacy of the figures. The World Health Organisation expressed concerns over the â€˜near exponentialâ€™ growth in cases as 183 countries were affected.","The global death toll has passed 50,000",Equivalence
145,"Cam girls are usually women who use webcams to interact with paying customers. Since the pandemic, they are seeing unprecedented levels of people wanting camera-to-camera interactions. Customers want to feel someone is near and having cam girls, regardless of whether theyâ€™re actively working or in front of the camera or not, helps to alleviate their loneliness. One cam girl, who goes by the name Red_Delicious, explains: â€˜I have never had so many cam- to-cam requests since this has all started'",Cam girls have noticed a few changes since the pandemic,Equivalence
146,"Researchers at Harbin Veterinary Research Institute in China found that cats are â€˜highly susceptibleâ€™ to coronavirus. The experiment included five cats that were inoculated with a high dose of the disease and three of them were placed in cages next to unaffected cats. Results then showed that one of the previously unaffected cats had tested positive for the virus, proving that it could be transmitted through respiratory droplets. The results follow reports of a cat contracting coronav virus in Belgium. There have been a handful of positive covid-19 cases seen in pets across the world in the last fortnight.",Cats are â€˜highly susceptibleâ€™ to covid-19,Equivalence
147,"Shenzhen is the first authority in the mainland to ban the consumption and production of dog and cat meat. The legislation also covers wild animals, meaning anyone caught breeding, eating or selling animals such as snakes and lizards could be fined up to 150,000 yuan (Â£17,036) It is part of a wider clampdown on the wildlife trade since the coronavirus outbreak began in December. The disease has affected more than 935,000 people around the world and has claimed some 47,000 lives.",Dogs in Chinaâ€™s live animal markets are often stolen as pets or snatched off the streets as strays,Complementarity
148,"World Health Organisation (WHO) has warned the number of people infected with coronavirus will exceed one million in the next few days. Director General Dr Tedros Adhanom Ghebreyesus said deaths had doubled in the last week alone. A total of 921,924, people have been infected with the virus, with more than 46,000 deaths. 74 countries have now joined the WHOâ€™s Solidarity Trial, â€˜which is comparing four drugs and drug combinationsâ€™ against the virus.",Director-General of the WHO Tedros Adhanom Ghebreyesus said he was concerned by the â€˜near exponential growthâ€™ in the number of confirmed cases,Equivalence
149,"Some people are blaming 5G for the Covid-19 pandemic. This theory is based largely on people believing that Wuhan was the very first city in China to get 5G. People are also saying that 5G has a negative impact on the immune system, however thereâ€™s no scientific evidence to support this. A third and final piece of misguided information connected with this theory is that coronavirus is just a bad strain of the common cold. This is incorrect.",Some are blaming 5G for the pandemic,Equivalence
150,"Medical Detection Dogs believe dogs can smell coronavirus and could help to screen people so that limited NHS tests are only used where needed. The charity, based outside Milton Keynes, has set up a fundraising page online here to raise the Â£1,000,000 needed to carry out the potentially life-saving work. If their training with Covid-19 is successful, the dogs could be deployed to airports or public spaces in order to provide non-invasive triage screening for the deadly infection.","Medical Detection Dogs needs to raise Â£1,000,000 to carry out research into whether dogs could be used to screen potential coronavirus patients",Equivalence
151,"Dynamo, 37, has tested positive for Covid-19, a new strain of coronavirus. He decided to take a private test due to being high risk and so that he was able to inform those heâ€™d been in contact with. The magician was diagnosed with Crohnâ€™s disease as a teenager, a long-term health condition affecting any part of the digestive system, but usually the small or large intestine. He also has arthritis. So far, 13 cases of the virus have been confirmed in the UK. Over 2,700 people worldwide have now died after contracting the illness.",Dynamo has tested positive for Covid-19,Equivalence
401,"Weinstein, who turned 68 last Thursday, is being isolated at Wende Correctional Facility in Western New York. A source told DailyMail.com: 'He tested positive and is quarantined' Weinstein is serving a 23-year sentence for rape and sexual assault. New York City was hit by the nation's largest coronavirus jail outbreak to date this week. At least 38 people testing positive at the notorious Rikers Island complex and nearby facilities - more than half of them incarcerated men.",Disgraced film mogul and convicted rapist Harvey Weinstein has contracted coronavirus,Equivalence
402,"PM will make a televised speech at 8.30pm amid fury that many people are still flouting government guidance. Health Secretary Matt Hancock has underlined that a decision on toughening measures is expected 'very soon' The move comes after the number of fatalities went up by 54 in a single day - the second biggest rise yet. Wales and Scotland each announced four more fatalities and England 46. 'Park bench Karens' yell at pregnant woman 'disrespecting' memorial, Python's bulging belly wriggles after swallowing grandmother, Moment half naked biker in Chelmsley Wood knocked off motorcycle.","In a tough message to the public from Downing Street this afternoon, Mr Johnson said: 'Even if you think you are personally invulnerable, there are plenty of people you can infect",Equivalence
403,"Professor Li Lanjuan, a member of Beijing's expert team on the virus, said she was 'very worried that imported cases could trigger another large-scale epidemic in our country' Her comment comes after the city of Guangzhou reported the country's first native coronavirus case 'related to an imported case' It also came as life in former epicentre Wuhan is slowly returning to normal following a two-month draconian lockdown. China reported no new local cases today but confirmed another 39 infections brought from overseas. Worldwide, more than.740 people have been killed by the deadly virus.","Professor Li Lanjuan (pictured), a member of Beijing's expert team on the virus, said she was 'very worried that imported cases could trigger another large-scale epidemic in our country'",Equivalence
404,"Daniela Trezzi, 34, was working on the front line of the coronavirus crisis at a hospital in Lombardy, the worst-affected region of Italy. The National Federation of Nurses of Italy confirmed her death and expressed its 'pain and dismay' in a statement last night. The federation said the nurse had been suffering 'heavy stress' because she feared she was spreading the virus. It came as Italy's death toll surged again yesterday with 743 new fatalities recorded in one day. However, the number of total infections rose by just eight per cent - the lowest level since Italy registered its first death on February 21.","Daniela Trezzi (pictured), a 34-year-old nurse in northern Italy, killed herself after being infected with coronavirus and fearing she had spread the disease to others",Equivalence
405,"The Prince of Wales, 71, has a 'mild' form of the illness and is on the Balmoral estate with his wife Camilla, the Duchess of Cornwall, who has tested negative. Charles' doctor's most conservative estimate was that the prince was contagious on March 13 - 24 hours after 'briefly' meeting his 93-year-old mother the Queen. It is not known if the monarch has been tested for coronavirus but she is said to be on lockdown and not even close family members can see her. Her weekly meeting with the Prime Minister is being done by phone, rather than in person at Buckingham Palace.",Charles was last seen with the Queen on March 9 at the Commonwealth Service at Westminster Abbey and saw her again on March 12 - 24 hours before his doctor claims he became contagious. Her Majesty is well but taking appropriate medical advice and is with Philip at Windsor with a skeleton team of just eight,Complementarity
406,"Larz, 21, was part of craze which saw youngsters licking tubs of ice cream. He revealed in a since-deleted tweet: 'I tested positive for Coronavirus' It comes as number who have tested positive in US soared to more than 55,000. Good Morning Britain host Piers Morgan called Larz 'scum' and said that his catching the virus was 'karma' Comes amid a worrying spate of similar incidents across US with younger generations using social media to mock coronavirus and gain 'clout'","The post which includes a video of him languishing in a hospital bed (right) is a far cry from the upbeat video he posted five days ago (left) of him licking a public toilet seat, which was captioned: 'RT (retweet) to spread awareness for the Coronavirus.'",Complementarity
407,"Prince Charles, 71, tested positive for coronavirus on Tuesday and is in self-isolation on the Balmoral estate in Scotland with his wife Camilla. Meghan and Harry are currently holed up at their waterfront mansion on Vancouver Island with baby Archie and are taking extra precautions during the pandemic by making staffers follow a strict hygiene protocol and wear latex gloves. Meanwhile, Meghan has been looking at ways to help out at home and is looking into fostering a dog, joking to friends that 'fostering meant keeping'","Meghan has forbidden Prince Harry from traveling, including to return to the UK to see his sick father Prince Charles, a source exclusively told DailyMail.com. The insider also revealed dog-lover Meghan is looking into fostering a black Labrador. Pictured: Meghan walking her lab Oz and Beagle Guy with Archie in January in Canada",Complementarity
408,"Professor Neil Ferguson told MPs that he is confident the health service will remain â€˜within capacityâ€™ That is because of the current lockdown, which could also mean the worst of the outbreak in intensive care units is likely to be over in two-and-a-half to three weeksâ€™ time. Earlier this month Professor Ferguson produced a report suggesting more than 20,000 people might die from coronavirus. But yesterday he told the Commons science and technology committee the death toll could be â€˜substantially lower than thatâ€™",People Enjoy the sun in St James' Park in central London The prime Minister Boris Johnson has insisted at the pubic should stay at home to slow the spread of the coronavirus,Independence
409,About three to 14 per cent of the former patients were diagnosed with the virus once more after being given the all-clear. Experts feared that China is facing a second outbreak due to the increasing number of imported cases as well as the 'silent carriers' who show no symptoms. Doctors in one hospital in Wuhan found that five of the 147 patients in a study tested positive again after recovery. But the researchers found no evidence that they became infectious after recovery as their family members all tested negative. Guangdong officials suggested the people in close contact with such recovered patients weren't infected.,"Up to 14 per cent of the recovered coronavirus patients have tested positive later, Chinese medical experts have revealed. People line up to get nuclei tests in Wuhan",Complementarity
410,Boris Johnson and Matt Hancock both tested positive for coronavirus. Prime Minister and Health Secretary are now in self-isolation. Chief Medical Officer Chris Whitty is working from home after he developed symptoms. Michael Gove forced to defend government's approach to the crisis. It was suggested ministers had at best been 'careless' and at worst 'negligent' by allowing the killer bug to infect Mr Johnson and Mr Hancock amid criticism of the government's testing efforts. But Mr Gove argued the fact they had caught coronav virus showed it 'does not discriminate' and 'we are all at risk',Boris Johnson today announced that he has tested positive for coronavirus while Chief Medical Officer Chris Whitty (pictured left) has developed symptoms and will be self-isolating,Complementarity
411,"The princess, of the Bourbon-Parma Royal Family in Spain, passed away yesterday. She was born in Paris, France on July 28, 1933 to parents, Prince Xavier and Madeleine de Bourbon, who had a total of six children. The news comes after it was revealed Prince Charles, 71, has a 'mild' form of the illness. He is on the Balmoral estate with his wife Camilla, the Duchess of Cornwall, who has tested negative and is without any symptoms of the virus. The number of deaths from Covid-19 in the past 24 hours is 832, it emerged this morning.",Princess Maria Teresa de Bourbon Parme and her nephew Prince Jaime de Bourbon Parme arrive for the presentation of her book ion 2014,Equivalence
412,"Senior Ministers think China risks becoming a pariah state unless there are sweeping reforms when the crisis abates. They are demanding an urgent review of Britain's relationship with the Communist super-state. Comes as the Prime Minister faces renewed Cabinet pressure to block the deal with the Chinese technology giant Huawei to build vast swathes of Britainâ€™s 5G network. There is fury at the top of government about the Chinese Communist Party's misinformation blitz around the virus, restrictions on vast amounts of protective medical equipment being exported.","The Chinese government, led by president Xi Jinping, pictured, is under fire for a misinformation blitz around the virus, restrictions on vast amounts of protective medical equipment being exported, and animal rights abuses blamed by experts for the outbreak",Equivalence
413,"Ministers and senior Downing Street officials said the Communist state now faces a â€˜reckoningâ€™ over its handling of the outbreak. They are furious over Chinaâ€™s campaign of misinformation, attempts to exploit the pandemic for economic gain and atrocious animal rights record. The Prime Minister now faces Cabinet calls to reverse his decision to let controversial Chinese firm Huawei build large parts of Britain's new 5G telecoms network. Mr Johnson today warns that the epidemic is likely to worsen in the coming weeks â€“ but that he expects the British â€˜spiritâ€™ to overcome the crisis.","A man is pictured wearing a hazmat suit in Wuhan, China.Â Boris Johnsonâ€™s allies turned on China over the coronavirus crisis yesterday",Complementarity
414,"Professor Neil Ferguson, director of MRC Centre for Global Infectious Disease Analysis at Imperial College, London, said even with control measures 250,000 people could die in the outbreak. His devastating conclusion led the Prime Minister to perform a drastic U-turn a fortnight ago. Now a rival academic has claimed Prof Ferguson has a patchy record of modelling epidemics, which could have led to hasty Ministerial decisions. Professor Michael Thrusfield of Edinburgh University said Prof Ferguson was previously instrumental in modelling that led to the cull of more than 6 million animals in 2001.","Professor Neil Ferguson, a director at Imperial College, London, said that even with control measures 250,000 people could die in the outbreak",Equivalence
415,"Researchers say the virus appears to mutate very slowly, with only tiny differences between the different strains. They also say it does not appear the strains will grow more lethal as they evolve. The slow mutation rate of the virus has given scientists hope that an eventual vaccine could provide protection for years, or even decades. Experts say that the earliest a coronavirus vaccine could be widely available is a year to a year from now, although trials are underway in the U.S. and UK, and time is needed to prove they are safe and effective.","A map based on genome sequences shows have different strains of coronavirus have spread around the world, with at least eight strains being tracked",Complementarity
416,"Amy Shircel, 22, of Wisconsin revealed she tested positive for Covid-19 in a viral Twitter thread that has since gone viral with more than 214,000 likes. It's not clear when Shircel first began feeling symptoms, but it started sometime after she finished a trip to Europe. She said the first two days of her symptoms were 'manageable', with chills and a mild cough, But symptoms soon turned more severe as she began vomiting and lost her appetite. By the sixth day of illness, she'd become so weak she was forced to crawl to the bathroom and was taken to the emergency room.","Pictured:Â Amy Shircel, 22, of Wisconsin revealed she tested positive for Covid-19 in a viral Twitter threadÂ after traveling to Europe",Equivalence
417,"The elderly man, who has not been named, was delirious when he bumped cars with Lucy Duncan, 24, a mental health nurse from Atherton, Lancashire, on Thursday evening. Sweating from the symptoms of coronavirus the man told Ms Duncan that he had not eaten for ten days and believed he had the virus. Ms Duncan called an ambulance and stayed with the man for five hours as he taken to the resuscitation fighting for breath. She is now attempting to trace the man's son believed to be in Milton Keynes, who the elderly gentleman had asked her to trace.","The elderly man, who has not been named, was delirious when he bumped cars with Lucy Duncan, 24, (pictured) a mental health nurse from Atherton, Lancashire, on Thursday evening",Equivalence
418,"Wuhan locals claim coronavirus has killed 42,000 people in the city alone. This is more than ten times the national figure claimed by Chinese authorities. The killer bug originated in Wuhan in China's Hubei Province. It has claimed the lives of 3,300 people and infected more than 81,000. But residents in city claim 500 urns have been handed out to grieving families every day from seven separate funeral homes all serving the city. It comes as the province relaxed its two-month lockdown of 50million people.","Wuhan locals claim coronavirus has killed 42,000 people in the city alone, more than ten times the national figure claimed by Chinese authorities. Pictured: A worker in a pharmacy in Wuhan today",Equivalence
420,Social distancing can reduce a patient's viral load - the number of particles of the virus they are first infected with. Having a high viral load gives a bug a 'jump start' and raises the risk of a patientâ€™s immune system becoming overloaded in its battle against COVID-19. People can slash their chances of a massive initial infection by staying away from others who might be ill and by sticking strictly to the rules against close personal contact which millions of people around the world are now faced with.,Viruses make people ill by multiplying rapidly inside the body and causing the immune system to go into overdrive to get rid of them - this causes symptoms like fever and tiredness,Complementarity
