Article ID,Summary,Caption,Category,Explanation
472,"Scott Morrison said it was past time for all foreign visitors to 'make their way home' There were more than 1million people in Australia on visitor and student visas on December 31 - thought to include tens of thousands of UK and US tourists. There are fears that backpacker hostels - with crowded living arrangements, shared kitchen and limited hygiene facilities - could turn into virus hotbeds. Britons were scrambling to find a way home from Australia on Friday after they were told to leave the country. Dozens of flights were being cancelled with costs for the remaining seats spiralling to more than £1,000 each.","Police were called to a hostel in Sydney to break up this rooftop social gathering, where revellers were visibly flouting social distancing rules",Complementarity,"The summary describes the broader context of foreign visitors being told to leave Australia due to COVID-19 fears. The caption provides a specific example of why such measures were being taken, showing a social gathering violating social distancing rules, thus adding supplementary context."
473,"Zahara de la Sierra, high in the Andusian mountains, was once fought over by the Moors and Christians in the Medieval times. On March 14, the same day Spain announced it was extending its state of alarm, the town's mayor blocked all but one of its five entrances. Since then Spain has recorded more than 117,000 coronavirus cases and nearly 11,000 deaths. But not one single case of Covid-19 has been recorded among Zahara's 1,400 inhabitants, more than two weeks after the town cut itself off.","Zahara de la Sierra, high in the Andusian mountains, was once fought over by the Moors and Christians in the Medieval times because of its perfect position overlooking a valley",Equivalence,"The summary and the caption both describe Zahara de la Sierra and its historical significance, repeating the exact phrase ""Zahara de la Sierra, high in the Andusian mountains, was once fought over by the Moors and Christians in the Medieval times"". This demonstrates a token-token exact match."
474,"Of 2,171 physicians surveyed from 30 countries, 37 per cent said it was the 'most effective therapy' for the virus. But the World Health Organization (WHO) claims that 'there is no evidence' that any medicine 'can prevent or cure the disease' Doctors in Europe, the US and China have been given licence to prescribe the promising drug to COVID-19 patients. The UK has prevented clinicians from dishing out hydroxychloroquine - a form of chloroquine -- until clinical trials are completed.","The malaria drug chloroquine is the best coronavirus treatment currently available, according to an international poll of thousands of doctors. Pictured: hydroxychloroquine, a version of it, is prescribed in the US under the brand name Plaquenil",Equivalence,"The summary refers to ""hydroxychloroquine - a form of chloroquine"", while the caption shows a specific instance of it being prescribed under the brand name Plaquenil. The summary mentions the general drug, and the caption provides a specific example."
475,Virus can be found in patients' stools because it takes hold in digestive system in some people. American scientist said one of the 'easiest ways' to prevent more people catching the virus was to avoid creating a 'toilet plume' The phenomenon is when faeces or urine particles are stirred up by the flush of water and are released into the air of the bathroom. World Health Organization has already warned the virus may spread via fomites - when the infection survives on inanimate objects. Study of 73 hospitalised patients in China found virus is detectable in faecal samples.,"Experts have warned the killer the coronavirus can spread through 'aerosolized faeces', urging those infected to close the lid when they flush the toilet",Equivalence,"The summary and caption both discuss the transmission of the coronavirus through feces. They both mention the concept of aerosolized feces or particles released during flushing, establishing a token-token relationship."
476,"Prime Minister was due to exit quarantine in Downing Street today, seven days after testing positive. But in a video message today he confirmed that he continues to have a high temperature and will therefore remain in isolation. Mr Johnson also urged people today to stick to the regulations over the weekend and not to be tempted by the forecast of good weather. He appeared at the door of No 11 Downing Street, where he lives, to join in the mass clapping for key workers at 8pm last night. The UK's coronavirus outbreak could peak over Easter weekend and next Sunday, April 12, could have the highest death toll of the entire epidemic.",In a video message today Mr Johnson confirmed that he continues to have a high temperature and will therefore remain in isolation,Equivalence,"The summary and caption both contain the exact same information about Mr. Johnson's video message and continued isolation due to a high temperature. This constitutes a token-token match, indicating literal equivalence."
477,"A panel of biosecurity and health experts have put pressure on the government to introduce stricter measures which could bring an end to the lockdown. The number of COVID-19 cases, currently at 5,350, will only continue rising if people don't stay in their homes with far stricter restrictions. Currently, laws state people should only go outside for essential reasons, such as grocery shopping, exercise and medical appointments. If stricter rules were brought in, schools would likely be shutdown, as would all takeaways, with only essential stores open - such as supermarkets and pharmacies.","If Australians stick to social distancing, like these people waiting for coffee in Cronulla on March 28 (pictured), the lockdown could end within six weeks, experts said",Complementarity,"The summary discusses potential lockdown measures and rising COVID-19 cases, while the caption shows an example of social distancing in a specific location and time, suggesting its potential impact on the lockdown. The caption adds context and a specific example to the broader discussion in the summary, but it's not essential for understanding the core message of the summary."
478,"Okonkwonwoye Chika Patrick, 47, savagely beat up the nurse, known by her surname Wang, after she stopped him from leaving his quarantine ward at a hospital in Guangzhou. Shocking footage shows the nurse bursting into tears as her swollen face is covered with bruises and lacerations. Local police said the detained patient is receiving treatment under quarantine with police supervision. The Guangzhou police said they have been investigating the incident and will ‘immediately carry out prosecution once the treatment is finished’",A Nigerian coronavirus patient has been detained for brutally attacking and biting a Chinese nurse on her face after he refuses to cooperate in taking a blood test,Equivalence,"Both the summary and the caption describe the same event: a Nigerian coronavirus patient attacking a Chinese nurse. The details in both texts, such as the patient's aggressive actions and the nurse's injuries, align closely, indicating a direct correspondence between the content."
479,"Kierran Stevenson, 32, was captured on CCTV at Stoke Mandeville Hospital in Buckinghamshire. He posted photos on Facebook of himself at the hospital on March 30 and images of hospital corridors, and commented that staff were not taking safety measures seriously. Stevenson, from Aylesbury, Bucks, was arrested and charged with one count of causing a public nuisance. He pleaded guilty to both charges, and has been sentenced to 12 weeks imprisonment. He was also ordered to pay £300 compensation to the NHS Trust.","Kierran Stevenson, 32, decided to wander around his local hospital purely to witness the coronavirus pandemic on the frontline and make postings to Facebook",Equivalence,"The summary and caption both explicitly refer to the same individual, Kierran Stevenson, and his age (32). This exact match of tokens establishes a literal equivalence between the texts."
480,"Father-of-two Ryan Storrie, 45, from Ardrossan, Ayrshire, died from coronavirus. He lived in Dubai but flew to Glasgow for his 40th birthday celebrations. He is believed to have contracted the bug after landing but was told to stay in his bedroom rather than go to hospital. His wife Hilary told how he said 'I'm done, Hilary, I can't keep fighting it' the evening before she found him dead in his bed. Coronavirus has killed 3,605 people and infected more than 38,000 in the UK alone.","Father-of-two Ryan Storrie, 45, who died from coronavirus told his family that he 'can't keep fighting it' the evening before he succumbed to the killer bug. Pictured: Mr Storrie with his wife Hilary and sons Aaron, 13, and Andrew 11, at his 40th birthday celebrations just 19 days before he died",Equivalence,"The summary and caption both explicitly mention 'Father-of-two Ryan Storrie, 45' and his death from coronavirus. This represents a direct, unambiguous match of key identifying tokens."
481,"There are more than 270,000 confirmed cases in America. That is twice as many as the country with the second-highest number of cases: Spain at 117,000. In just a matter of weeks, the US surpassed other countries once considered to be the epicenter of the global outbreak including China, Italy, Germany, Iran and South Korea. The US is now reporting five times as many cases as China did during its peak, which was around 3,800 in one day. And the rate of spread in the US - 28,990 new cases yesterday alone - suggests that the peak of the outbreak is still weeks away.","Just 20 days after the first coronavirus case was reported, America had more than 20,000 cases, more than any country over the same time period",Complementarity,"The caption adds supplementary context to the summary. While the summary discusses the total number of cases and rate of spread, the caption provides a historical perspective on the initial growth rate of cases in America, enriching the overall understanding of the situation."
483," animated graph shows how the coronavirus pandemic has evolved when measured by cases per head - putting Luxembourg into a current global lead. The chart visualises how the centre of the crisis has lurched from Asia to the West with extraordinary speed. It also highlights small countries where the outbreak has been particularly bad when adjusted for population. The current world leader in that respect is Luxembourg, where an outbreak of 2,500 cases has attracted little attention but where one in 240 people have been infected. Spain is second followed by Switzerland, where 19,000 cases are an alarming number among only 8.5million people.","This graph shows the number of coronavirus cases per million people, putting Luxembourg into a clear global lead because of its small population",Equivalence,"The summary and caption both explicitly mention ""Luxembourg"" and the concept of ""coronavirus cases"". The caption directly reflects the information presented in the summary regarding Luxembourg's lead due to its small population."
484,"Josh Youngman, 26, was healthy before contracting the virus but has 'lost his battle' to recover. Partner Charlotte Mills told friends in an Instagram post: 'Please read this. It's not just the old and the vulnerable, it's everyone' Mr Youngman was the son of the Reverend Chris Youngman of Whitefriars Church in Rushden, Northamptonshire. Health Secretary Matt Hancock today warned the UK's coronavirus outbreak could peak over the Easter weekend and by next Sunday up to 1,000 people a day could be dying.","Josh Youngman, 26, was healthy before contracting the virus but has 'lost his battle' to recover (pictured right with partner Charlotte Mills left)",Equivalence,"The summary and caption contain almost identical information about Josh Youngman's death and his partner Charlotte Mills. The caption provides some additional contextual information, but the core information is repeated using the same tokens."
485,"Buckingham Palace said broadcast to 'the United Kingdom and the Commonwealth' by the 93-year-old monarch has already been recorded. It will mark only the fourth time the Queen has addressed the nation during her 68-year reign, following the Gulf War, the death of Diana and when the Queen Mother passed away. Prime Minister Boris Johnson said he is 'feeling better' after suffering from coronavirus but will remain in self-isolation until his temperature drops. 684 more people have died in hospital after testing positive for the virus, bringing the total UK deaths to 3,605.",The Queen speaks to Prime Minister Boris Johnson from Windsor Castle on March 25 last week,Complementarity,"The summary describes the Queen's upcoming address and Boris Johnson's condition. The caption adds context by showing a past interaction between them, functioning as adjunct by specifying the time and location of a related event."
486,"Professor Michael Wakelam was Director of the Babraham Institute in Cambridge. The father-of-two, who was 64, died of complications from what is thought to be a Covid-19 infection. His main area of research was cell signalling and communication, which he studied for more than 20 years. The institute, which is one of world's top centres of biological research, has since paid tribute to Professor Wakelam and say his loss will be 'felt widely across the scientific community and all those who knew him'",Professor Michael Wakelam was the Director of the Babraham Institute in Cambridge. The institute is one of a world-leading centre of biological research,Equivalence,"The summary and the caption both explicitly mention ""Professor Michael Wakelam"" and ""the Babraham Institute in Cambridge"" using the exact same tokens. They are referring to the same person and institution."
487,"Health chiefs said there has 'never been a more important time' to quit the habit than now because of the ever-worsening outbreak in Britain. PHE also claimed family, including children, will also be at a higher risk of serious COVID-19 complications, as a result of inhaling secondhand smoke. Based their advice on a 'small but impactful' study in China, which suggests smokers are more likely to see their disease progress. But one team of experts from Wuhan - where the pandemic began - were mystified after finding smokers were less likely to catch the deadly virus in the first place.","Smokers face a greater risk of coronavirus and put their loved ones at risk, according to a stark warning from Public Health England.",Equivalence,"The caption and summary both explicitly mention 'smokers' and 'risk' in the context of health implications, especially with regard to the coronavirus. There is a direct semantic overlap that indicates literal equivalence."
489,"Oliver Cook, 35, was caught on camera threatening officers with coronavirus in shocking body-cam footage in Whitstable, Kent. Martin Turner, 50, was one another who threatened police officers with the deadly pathogen after disregarding the two-metre social distancing measures. Adam Power, 37, was arrested for stealing a bottle of wine from a Co-op store in Bournemouth. He also attempted to spit at a police officer and kick them in the ankle while holding a cell. Two other yobs who spat at officers during the lockdown have also been jailed.","Oliver Cook, 35, was caught on camera threatening officers with coronavirus in shocking body-cam footage in Whitstable, Kent",Equivalence,"The summary and caption contain the exact same information regarding Oliver Cook. The tokens used to describe the person and the event are identical in both texts, indicating a direct match."
490,"The study was carried out by researchers at the Harbin Veterinary Research Institute in China. It found that cats can transmit the disease to other cats through respiratory droplets after it undertook experiments on a small number of them. The news comes a week after a Belgium woman was found to have passed on the coronavirus to her pet cat. The study is yet to be peer-reviewed, the process in which studies are evaluated to determine their credibility, but experts have said the findings are legitimate and credible.","Cats are capable of transmitting the coronavirus between themselves, a study in China has found. Picture: A cat relaxes outside Moscow apartments being disinfected",Complementarity,"The caption provides supplementary context by illustrating the general environment (disinfected Moscow apartments) associated with the topic of coronavirus transmission in cats, which is not essential to understanding the study's core message but enriches the context. Therefore, it's a non-essential element, acting as an adjunct by specifying the location."
491,"Across state and local laboratories, 1,290,619 tests for the virus, have been run, according to The COIVD Tracking Project. While the majority of swabs have come back negative, at least 270,000 people - including 33,000 who have been hospitalized - have been confirmed to have the virus. But Dr Deborah Birx, the response coordinator of the White House coronavirus task force, says 50 percent of the data for tests that have been conducted. On Thursday, Birx said that all tests were required to be report their results under the $2 trillion economic stimulus measure signed into law by President Trump.","In both state and local laboratories, a total of 1,290,619 tests for coronavirus, have been conducted. Pictured: A medical worker takes a swab sample from someone at a coronavirus drive-thru center in Jericho, New York, April 2",Complementarity,"The summary provides information about the number of coronavirus tests conducted and the issues surrounding data reporting. The caption visually depicts the testing process, adding context to the summary but not essential for understanding the core message about test numbers and data."
492,"Areema Nasreen, 36, died earlier today in intensive care at Walsall Manor Hospital, West Midlands. The mother-of-three, who leaves behind children aged 8, 10, and 17, became the country's youngest health worker to be killed by the disease. A second frontline nurse, Aimee O'Rourke, 39, also passed away after treating patients at the Queen Elizabeth The Queen Mother Hospital in Margate, Kent. England's chief nurse, Ruth May, today paid tribute to both women.","Areema Nasreen, 36, (pictured) died earlier today in intensive care at Walsall Manor Hospital, West Midlands, where she had worked",Equivalence,"The summary and caption both explicitly mention ""Areema Nasreen, 36, died earlier today in intensive care at Walsall Manor Hospital, West Midlands"". The texts share identical tokens, confirming a direct equivalence."
493,"Jessica Beatriz Cortéz, of Huntington Beach, California, died from COVID-19 Saturday - a day after she was diagnosed. FDNY Battalion Chief Al Petrocelli, who lost one of his sons, Mark, in the Sept. 11 terrorist attacks died, Wednesday from the virus. And in upstate New York, Vinnie Coon, 27, died after showing symptoms and self-isolating on orders from a doctor who told him not to get tested. Reports of those who have died come as Michigan, Louisiana and Georgia are expected to become the next coronavirus hot spots in the US.","Jessica Beatriz Cortéz, of Huntington Beach, California, died from COVID-19 Saturday - a day after she was diagnosed; FDNY Battalion Chief Al Petrocelli, who lost one of his sons, Mark, in the Sept. 11 terrorist attacks died, Wednesday from the virus",Equivalence,"The summary and caption contain the same information regarding the deaths of Jessica Beatriz Cortéz and FDNY Battalion Chief Al Petrocelli. The key entities and details are identical, indicating a direct match."
494,"George Brooksbank, 71, is understood to be in a ‘serious but stable’ condition in hospital. His wife Nicola, 66, is also suffering from the disease but has been recuperating at home. The couple watched proudly as Jack, 33, married Eugenie at St George’s Chapel, Windsor, at a ceremony attended by the Queen and most senior members of the Royal Family. The coronavirus crisis has affected the wedding plans of Princess Beatrice. The planned reception at Buckingham Palace has been called off.","George Brooksbank, 71, whose son Jack married the Queen’s granddaughter in 2018, is understood to be in a ‘serious but stable’ condition in hospital after being struck down by coronavirus",Equivalence,"The summary and caption both explicitly mention 'George Brooksbank, 71' and his serious condition in the hospital due to coronavirus. The texts share the same tokens, establishing a direct correspondence."
495,British light-heavyweight Anthony Yarde says his grandmother has died from the coronavirus just a few days after his father's death as a result of the pandemic. The 28-year-old fighter appealed to people to 'just stay home' as he announced that his grandmother had died yesterday. 'It's serious!' Yarde wrote on social media. 'People are still going out when they don't need to. I know there's a lot of opinions about Covid-19 and I have mine but I just know opinions ain't worth risking your life and others. Just stay home.',British light-heavyweight Anthony Yarde (pictured) says his grandmother has died from the coronavirus just a few days after his father's death as a result of the pandemic,Equivalence,"The summary and caption contain almost identical information, specifically sharing the core fact that Anthony Yarde's grandmother died from the coronavirus shortly after his father's death due to the same pandemic. They both use the same tokens to express this information."
496,"The coronavirus outbreak originated in China, reportedly in the ‘wet’ livestock markets in the city of Wuhan. Delay and deceit over the origins of the outbreak cost precious time — and many thousands of lives both in China and subsequently in the rest of the world. A timely new book by an Asian expert, Kishore Mahbubani, puts the question bluntly: ‘Has China Won?’ His argument is that the decisive and effective Chinese leadership has outstripped the United States, whose economic, political and social model is failing.","Chinese President Xi Jinping visits Chuanshan port area of the Ningbo-Zhoushan Port, Zhejiang Province",Complementarity,"The summary discusses the coronavirus outbreak and a book arguing for China's ascendance. The caption shows Xi Jinping visiting a port, providing context related to China's economic activity, but it isn't essential to understanding the core argument about the outbreak or the book's thesis."
498,"'That should alleviate any concern on uninsured Americans have about seeking the coronavirus treatment,' the president said. 'That answers the question pretty well. And pretty much in the favor of our great people,' he added. The announcement comes on the same day a federal report showed more than 700,000 jobs were lost in March. Nearly 10 million Americans applied for unemployment benefits in the final two weeks of March. The White House is not extending open enrollment under Obamacare, despite President Trump saying it was an option.",President Donald Trump announced the government will pay for coronavirus treatments for those without insurance,Equivalence,"The summary references President Trump's announcement regarding coronavirus treatments for uninsured individuals. The caption directly states ""President Donald Trump announced the government will pay for coronavirus treatments for those without insurance,"" indicating a token-token equivalence as it describes the same event."
499,"It is only the fifth time the 93-year-old monarch has made a broadcast outside of Christmas. She recorded the message at Windsor Castle, where she is living in isolation. News comes as the UK announced 684 more coronavirus deaths on Friday, taking the total number of fatalities to 3,605. On Thursday there were a record 569 new fatalities announced by the Department of Health and today's statistics show a rise 20 per cent larger. The number of people dead from COVID-19 in the UK has risen five-fold in a week, from just 759 last Friday, March 27.",The Queen speaks to Prime Minister Boris Johnson from Windsor Castle on March 25 last week,Complementarity,"The summary describes the Queen's broadcast and the context of the COVID-19 deaths in the UK. The caption provides additional, non-essential information about a conversation between the Queen and Prime Minister Boris Johnson and the specific date it occurred, enriching the context but not essential to understanding the broadcast itself."
500,"Data shows wide variation across the UK, with hotspots including major cities like London, Birmingham, Liverpool, Manchester, Glasgow, and Belfast. It also highlights problems in rural areas of South Wales, which are currently experiencing bed shortages following an influx of patients. It comes as the UK today announced yet another record one-day high of 684 deaths, taking the total number of fatalities to 3,605. The Government today penned an open letter pleading for firms who can make personal protective equipment (PPE) and coronavirus tests to come forward. But MailOnline can reveal one firm poised to supply DIY coronav virus antibody tests to Number 10 - kits deemed crucial in ending Britain's draconian lockdown because they reveal who is immune to the disease.","The COVID Symptom Tracker works by taking people through a questionnaire about how they are feeling and whether they have the typical symptoms of coronavirus. The app has been developed by a King's College London team in association with the Guy's and St Thomas' NHS Foundation Trust, NIHR Biomedical Research Centre and healthcare start-up ZOE Global Limited",Complementarity,"The summary discusses the overall COVID-19 situation in the UK, including hotspots, shortages, and testing efforts. The caption provides specific details about a COVID symptom tracking app, supplementing the general testing discussion but not being essential to understanding the core message of the summary."
501,"More than 1,400 NYPD employees have been diagnosed with coronavirus and ten have died, with some worried that authorities' attempt to help citizens could actually hurt them. Authorities are often left to interact with civilians without protective gear like gloves due to a nationwide shortage and social distancing can fall to the wayside during police-civilian confrontations. On Friday, Police Commissioner Dermot Shea revealed that two more NYPD officers died of coronav virus. School Safety Agent Luis Albino died Friday after spending 20 years with the department. Auxiliary Police Lt. Pierre Moise, who joined the force in 1994 and worked in Brooklyn, also passed away.",Some critics of New York Police Department fear overly aggressive policing could spread  help coronavirus between civilians and officers,Complementarity,"The summary discusses the spread of coronavirus among NYPD employees and the deaths of officers. The caption provides additional context by mentioning concerns about aggressive policing potentially contributing to the spread of the virus, adding a supplementary layer of understanding to the situation without being strictly necessary for the primary message."
502,"The government revealed the daily infection rate two weeks ago was between 25-30 per cent but in recent days has fallen under 10 per cent. Police have been out in full force issuing warnings and on the spot fines of $1,000 for anybody who is outside for non-essential reasons. People are only allowed to leave their homes for food, exercise and medical appointments. Prime Minister Scott Morrison warned Australians not to take it for granted and to prepare for six more months of tough restrictions. 'People should not be going away for Easter holidays. This is Easter at home,' he said.",People are seen ignoring social distancing rules at Manly Beach in Sydney's northern beaches,Independence,"The summary describes government restrictions and warnings for people to stay home. The caption shows people blatantly ignoring these rules at Manly Beach, which directly contradicts the message of the summary."
503,"University of Chicago has created a map of the country's coronavirus hotspots based on the number of positive cases per 10,000 people. Many are 'hidden' hotspots that are not being spoken about as much as their cases numbers remain low when compared to urban centers but their fatality rates are high. Outbreaks in less populous places such as Albany, Georgia, with a population of 77,000, are impacting communities on a much more severe level than more high-profile hotspots in the likes of San Francisco and Seattle.",This map from the University of Chicago highlights in red the country's hotspots by cases per capita. Many are 'hidden' hotspots that are not being spoken about as much as their cases numbers remain low when compared to urban centers but their fatality rates are high,Equivalence,"The summary and the caption both refer to the same University of Chicago map and describe its function of highlighting coronavirus hotspots. They share several identical phrases such as 'hidden hotspots' and 'cases numbers remain low', indicating a direct match in their content."
505,"Rep. Ilhan Omar, the democratic representative from Minnesota, made the pointed remarks during an interview on SiriusXM's The Dean Obeidallah Show on Thursday. 'I think with each day that goes by, it becomes clearer and clearer how badly this administration has completely failed the American people,' she said. The United States has amassed 277,999 confirmed cases and at least 7,164 deaths. New York City has become an epicenter for the disease, totaling to 57,159 cases and 1,867 deaths.","In a Thursday interview, Rep. Ilhan Omar (left) blasted President Trump's (right) coronavirus response and said 'hundreds of thousands could die'",Equivalence,"The summary and caption both refer to the same individual, Rep. Ilhan Omar, using identical tokens. Additionally, both texts reference the events of a Thursday interview."
506,"State governors have slammed the condition of the supply inventory available in the Strategic National Stockpile. Close to 6,000 masks that were sent to Montgomery, Alabama were reportedly dry rotted and had 2010 expiration dates. California Governor Gavin Newsom tweeted that Los Angeles had recently received around 170 broken ventilators from a national stockpile that it needed send out to be repaired. The CDC warned states that some of the inventory of the stockpile could be out of date but that they had opened access to it 'due to the potential urgent demand caused by the COVID-19 public health emergency'",California Governor Gavin Newsom says Los Angeles received 170 ventilators that were working when they came in from the Strategic National Stockpile,Equivalence,"The summary and caption both explicitly mention 'California Governor Gavin Newsom' and the 'Strategic National Stockpile', indicating a direct correspondence between the entities discussed. While the summary focuses on broken ventilators, the caption mentions working ventilators, but this discrepancy is not a contradiction but rather different information on the same topic."
507,"NSW Health Minister Brad Hazzard has urged youths not be be complacent when it comes to strict social distancing rules. 41 people have been admitted into intensive care units. Four of those people were in their 30s and 23 of them need ventilators to breathe. Australia has had 5,523 cases of coronavirus - with 30 deaths - as of Saturday afternoon. Almost 500 Australian women aged between 20 and 29 have been infected with the deadly virus, surpassing their male counterparts by almost 100 cases.",Young Australians have been told they are not immune to coronavirus. Pictured: Woman observing social distancing in Manly on Saturday,Complementarity,"The summary discusses the impact of coronavirus and the need for social distancing among young people in Australia. The caption provides a specific example of a woman practicing social distancing, adding visual context but not being essential to understanding the core message of the summary."
508,"Friday saw the number of UK deaths surpass the reported total in China. The UK hospital death toll increased by 684, bringing the county's total to 3,605 at the time, overtaking China's official count of 3,326 from yesterday (3 April) There are questions over the accuracy of the figures in China, however. As of today (4 April) the UK has seen 4,313 Britons die from the coronavirus, now 987 ahead of the latest figures from China. London continued to be the UK's worst hit area by the virus with 161 deaths on Friday.","The number of deaths as a result of the coronavirus in the UK has now surpassed those in China, where the outbreak began at the end of 2019",Equivalence,The summary and caption both explicitly state that the number of deaths in the UK has surpassed those in China as a result of the coronavirus. This constitutes a 'Token-Token' match as the core information is identical and unambiguously represented in both texts.
509,"Senior Liberal and Labor MPs said China must reap the economic consequences after misleading information about the coronavirus. 'The Australian people aren't mugs. They know how COVID-19 started and how the CCP lied about it,' Liberal Andrew Hastie said. NSW Liberal Dave Sharma said Australia depends on China a lot. The tough political rhetoric comes as Australia bans the exporting of face masks, hand sanitiser and other vital medical supplies. Customs can now seize the goods and add them to the national stockpile for healthcare workers to use, as long as they are not defective.",Parliamentary Joint Committee on Intelligence and Security members Labor's Anthony Byrne (left) and Liberal's Andrew Hastie (right) said Australia needs to reassess their relationship with China,Equivalence,"The summary mentions ""Liberal Andrew Hastie,"" and the caption explicitly names and identifies Andrew Hastie as a member of the Parliamentary Joint Committee. Therefore, the texts share the same entity with identical tokens."
510,"Professor Neil Ferguson's modelling is guiding Downing Street's crisis strategy. He hopes some curbs could be lifted by the end of May. Imperial College academic warned this would not be a return to normal life. But it would relax ban on person-to-person contact which is paralysing society. Prime Minister will review the lockdown on April 13, when he is widely expected to extend current restrictions. Prof Ferguson revealed fresh data which recorded an 85 per cent drop in movement of people outside their households, suggesting the majority are following social distancing rules.","Professor Neil Ferguson (left), whose grim forecast of 250,000 deaths initially prompted Boris Johnson (right, speaking from isolation in Downing Street) to impose the lockdown, hoped some curbs could be lifted by the end of May",Equivalence,"The summary and caption both explicitly mention ""Professor Neil Ferguson"" and the hope that some curbs could be lifted by the end of May. The texts share the same tokens referring to the same individuals and dates."
511,"Hospitals across Britain are still 21,825 ventilators short of the estimated 30,000 it will need when the crisis, which has infected over 38,000 Britons, is at its height. Health Secretary Matt Hancock on Friday said the virus continues its 'grim march' and admitted that next week is likely to be worse still. The Ventilator Challenge UK group - which includes Dyson and Rolls-Royce - have said they aim to make 1,500 machines a week by the end of the month, but only 30 are said to arrive in the first batch.","The NHS will have 'nowhere near' enough ventilators to cope with the coronavirus peak, according to sources (pictured: file photo of a doctor examining an intubated patient'",Complementarity,"The summary describes the ventilator shortage and efforts to address it. The caption, while reinforcing the shortage issue, provides a visual context with a file photo, acting as non-essential information since the article can stand without the picture."
512,"Charity Refuge has seen a 25% increase in calls and online requests. Victims' commissioner Dame Vera Baird has called on the government to find extra funding for the sector to support victims. Twelve deaths have been reported in the last five days across the country. Grandson Alan Ginges, 32, has been accused of murdering his grandmother Betty Dobbin, 82, in County Antrim, Northern Ireland. Nurse and mother-of-three Victoria Woodhall, 31, was stabbed to death outside her home in Middlecliffe, Barnsley, this week.","Calls to domestic abuse help lines have soared by an estimated 25 per cent. Victims' commisioner Dame Vera Baird has called on the government to provide more funding for charities. Pictured, officers attend an address in Langley Mill, Derbyshire, after a body was found at 2am",Complementarity,"The summary describes a general increase in domestic abuse calls and specific cases, while the caption provides a visual example of police attending a related incident. The image of officers attending an address enriches the context of the summary by showing a real-world response to domestic abuse situations, but it is not essential for understanding the core message about the increase in calls and the need for funding."
513,"5 of England's deaths from coronavirus have been aged under 20 so far. 92 per cent of cases have been in people aged over 60, according to NHS England. Those most at risk are those aged over 80, which account for 53 per cent. Second most affected group is those aged between 60 and 79, which accounts for 39 per cent, with the remaining eight per cent between 59 and zero. The UK has recorded 41,903 cases of coronav virus, with 41.9 per cent dying in hospitals.","Those most at risk from coronavirus are aged over 80, which account for 53 per cent of deaths",Equivalence,"The caption is a direct quote of a key statistic presented within the article summary. Both texts use identical tokens to describe the most at-risk group, creating a literal equivalence."
514,"Former Secretary of State Henry Kissinger has warned of global economic doom that could last for generations if coronavirus isn't beat. Kissinger, who served under President Nixon and President Ford, wrote an opinion piece for the Wall Street Journal on Friday. The 96-year-old believes the White House has done 'a solid job in avoiding immediate catastrophe,' but adds the government needs to work efficiently and in a farsighted manner to beat the disease. No cure has been found and medical workers have sounded the alarm that there is not enough personal protective equipment to keep themselves safe.",Former Secretary of State Henry Kissinger has warned of global economic doom that could last for generations if coronavirus isn't beat,Equivalence,"The summary and the caption both explicitly mention and refer to the same entity, 'Former Secretary of State Henry Kissinger,' using identical tokens. This indicates a direct and unambiguous match between the two texts."
515,"Study found that more than half of the sample of intensive care patients died due to the killer bug while the other 50 per cent were discharged. In comparison, just 22.4 per cent of patients admitted to intensive care with viral pneumonia between 2017 and 2019 died of the disease. The shocking statistics come as the UK's coronavirus death toll soars to 4,313 with more than 41,900 confirmed cases. The patients had a median age of 61 and a total of 73% of those admitted tointensive care units with coronav virus were male.",The death rate of coronavirus patients admitted to intensive care topped 50 per cent the latest figures show,Equivalence,"The caption and summary both convey the same key information: that the death rate of coronavirus patients in intensive care is over 50%. This represents a direct, token-level match in meaning."
517,"Virus said to have 'swept through' 90-bed Burlington Court care home in Glasgow. Victims' families told their deaths may be linked to covid-19. All 13 residents who died had underlying health issues - Burlington Court cares for OAPs as well as those with epilepsy, Huntington's and Parkinson's Disease. A source from inside the home said: 'It's just so sad. How do you deal with something like this? The staff are doing their best to cope' Department of Health confirmed 4,313 people have died in hospital in the UK having been infected with Covid- 19.","The virus is said to have 'swept through' the 90-bed Burlington Court care home in Glasgow killing 13, with the victims' families told their deaths may be linked to covid-19",Equivalence,"The summary and caption both contain the phrase ""The virus is said to have 'swept through' the 90-bed Burlington Court care home in Glasgow"" along with information linking deaths to Covid-19. They share identical, unambiguous tokens directly referring to the same event and location."
518,"3M masks went out of date in May 2012 according to their packaging. They were handed out to staff working for the South West Ambulance Service. The date had been covered over with two stickers. The first said they went out in May 2019, and the second said they were safe to use until May 2016. An individual who saw the masks said staff at the ambulance service feel as though they are 'flipping a coin' when they put the gear on. A director said tests were carried out on the masks, that remain inside a sealed box, and that they were 'fine to use'",Date stickers stuck on the box of face masks reveal they passed their sell by date in May 2012,Equivalence,"The summary discusses 3M masks with an expiration date of May 2012 that were used by the South West Ambulance Service. The caption directly refers to date stickers indicating the masks expired in May 2012, representing a token-token match in content."
